RUT,Nombre,Apellido_Paterno,Apellido_Materno,Edad,Sueldo,Nombre_Completo,Bono
17.432.109-k,Javiera,Alarcón,Soto,29,850000.0,Javiera Alarcón Soto,212500
15.822.341-5,Roberto,Muñoz,Vera,42,1200000.0,Roberto Muñoz Vera,300000
19.110.457-8,Camila,Rojas,Espinoza,24,650000.0,Camila Rojas Espinoza,162500
12.654.332-1,Marcos,Valenzuela,Pérez,55,2100000.0,Marcos Valenzuela Pérez,525000
18.234.990-4,Elena,Castro,Silva,31,980000.0,Elena Castro Silva,245000
16.778.223-9,Diego,Herrera,Martínez,38,1150000.0,Diego Herrera Martínez,287500
20.443.112-0,Sofía,Morales,Pardo,22,520000.0,Sofía Morales Pardo,130000
13.221.445-6,Patricia,Lagos,Vidal,51,1900000.0,Patricia Lagos Vidal,475000
17.990.123-k,Felipe,Saavedra,Méndez,28,890000.0,Felipe Saavedra Méndez,222500
19.887.654-3,Nicolás,Fuentes,Torres,23,600000.0,Nicolás Fuentes Torres,150000
18.556.110-2,Valentina,Núñez,Rivas,30,1050000.0,Valentina Núñez Rivas,262500
16.332.998-5,Gonzalo,Paredes,Jara,36,1100000.0,Gonzalo Paredes Jara,275000
14.990.332-1,Beatriz,Sandoval,Godoy,46,1550000.0,Beatriz Sandoval Godoy,387500
21.223.445-0,Ignacio,Carrasco,Peña,20,480000.0,Ignacio Carrasco Peña,120000
17.112.887-k,Claudia,Vergara,Salinas,29,920000.0,Claudia Vergara Salinas,230000
12.998.776-4,Jorge,Henríquez,Ruiz,53,2050000.0,Jorge Henríquez Ruiz,512500
20.112.554-3,Matías,Cáceres,Bustos,22,550000.0,Matías Cáceres Bustos,137500
18.112.990-k,Esteban,Figueroa,Donoso,32,1120000.0,Esteban Figueroa Donoso,280000
16.554.112-7,Natalia,Mena,Leiva,37,1180000.0,Natalia Mena Leiva,295000
11.998.112-3,Luis,Pino,Ortiz,57,2250000.0,Luis Pino Ortiz,562500
14.221.556-9,Miauricio,Olivares,Campos,47,1680000.0,Miauricio Olivares Campos,420000
20.887.332-1,Constanza,Miranda,Villalobos,21,500000.0,Constanza Miranda Villalobos,125000
15.667.443-k,Rodrigo,Loyola,Maturana,43,1420000.0,Rodrigo Loyola Maturana,355000
