RUT,Nombre_Completo,Promedio
21.344.556-7,Martina Lagos Silva,6.5
20.988.123-k,Benjamín Oyarzún Ruiz,5.8
22.112.443-4,Sofía Cárdenas Mansilla,6.2
21.554.332-1,Mateo Vargas González,4.5
20.776.554-9,Florencia Muñoz Soto,5.9
21.221.998-0,Lucas Paredes Vidal,6.8
22.443.112-5,Isabella Barrientos Díaz,5.4
20.332.887-6,Joaquín Aguilar Torres,6.1
21.665.443-2,Agustina Espinoza Mora,4.9
21.332.776-k,Catalina Rivas Salinas,6.1
22.554.110-3,Valentina Ulloa Rojas,6.7
21.887.223-4,Matías Gómez Ibáñez,5.5
20.443.998-1,Elena Guerrero Castro,6.0
21.990.554-7,Tomás Almonacid Bahamonde,4.2
22.221.334-0,Josefa Villarroel Núñez,6.9
20.665.112-8,Diego Jara,5.7
21.443.887-5,Emilia Gallardo Pardo,6.3
20.887.443-2,Maximiliano Cárcamo Ojeda,5.1
22.332.110-k,Isidora Bórquez Delgado,6.6
21.112.665-4,Felipe Arriagada Saavedra,4.8
20.554.332-9,Antonella Saldivia Valenzuela,5.6
21.776.998-1,Samuel Carrasco Godoy,6.4
22.665.221-7,Fernanda Henríquez Méndez,5.3
20.221.554-3,Francisco Orellana Tapia,5.9
22.112.887-4,Maite Figueroa Maturana,6.8
21.554.665-1,Benjamín Leiva Donoso,5.0
20.776.332-9,Constanza Mena Palma,5.2
21.221.443-0,Vicente Pino Ortiz,5.4
21.002.334-5,Matías Schwaner Werner,6.1
20.881.442-k,Javiera Cárcamo Mansilla,5.4
22.109.887-3,Rodrigo Paredes Soto,4.9
21.554.221-8,Constanza Vera Ruiz,6.7
20.332.112-9,Sebastián Aguilar Bahamonde,5.2
21.667.443-0,Antonia González Ojeda,5.8
22.445.667-1,Ignacio Martínez Silva,6.3
20.112.998-k,Fernanda Oyarzo Vidal,4.5
22.334.556-2,Valentina Rojas Espinoza,6.0
21.112.443-7,Benjamín Morales Pardo,5.6
20.556.778-9,Isidora Muñoz Lagos,6.9
22.667.889-5,Maite Vargas Núñez,6.2
21.223.445-0,Diego Fuentes Palma,6.35
20.998.112-3,Emilia Santana Reyes,6.5
22.110.554-1,Maximiliano Bravo Donoso,4.8
21.556.998-4,Sofía Maldonado Jara,5.3
20.778.332-6,Joaquín Carrasco Guerra,6.6
21.221.776-k,Catalina Bórquez Delgado,5.9
22.443.887-2,Felipe Arriagada Salinas,4.1
20.334.110-8,Antonella Saldivia Maturana,5.5
21.669.223-5,Samuel Henríquez Godoy,6.4
22.556.112-7,Martina Rivas Farías,5.550000000000001
21.887.443-1,Vicente Figueroa Ortiz,4.7
22.332.990-k,Josefa Leiva Tapia,5.2
21.114.665-4,Francisco Mena Loyola,6.1
20.558.112-9,Elena Pino Villalobos,5.0
22.669.332-8,Claudia Cáceres Bustos,6.3
